"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","DIA,C,2","HORAI,C,2","MINUI,C,2","HORAT,C,2","MINUT,C,2","RESENT,C,2","POB,N,10,0","FACVIV,N,10,0"
1,01,001,0001,0591,010034,01,111111,16,10,15,10,57,01,3,1803
1,01,001,0001,0591,010034,02,111111,07,19,45,21,00,01,1,1803
1,01,001,0001,0591,010034,03,111111,07,17,25,19,25,01,7,1803
1,01,001,0001,0591,010034,04,111111,16,11,00,11,40,01,2,1803
1,01,001,0001,0591,010034,05,111111,07,04,00,05,00,01,2,1803
1,01,001,0001,2282,010038,01,111111,11,11,55,12,50,01,4,2096
1,01,001,0001,2282,010038,02,111111,11,11,00,11,50,01,5,2096
1,01,001,0001,2282,010038,03,111111,21,21,10,22,00,01,1,2096
1,01,001,0001,2282,010038,04,111111,21,11,00,11,45,01,5,2096
1,01,001,0001,2282,010038,05,111111,22,17,20,18,13,01,4,2096
1,01,001,0001,2507,010041,01,000011,21,19,30,19,50,07,0,0
1,01,001,0001,2507,010041,02,111111,21,18,20,19,10,01,4,2096
1,01,001,0001,2507,010041,03,111111,21,15,45,16,38,01,2,2096
1,01,001,0001,2507,010041,04,111111,21,14,20,15,15,01,6,2096
1,01,001,0001,2507,010041,05,111111,21,17,05,17,50,01,6,2096
1,01,001,0001,2121,010044,01,111111,16,11,15,11,50,01,4,2148
1,01,001,0001,2121,010044,02,111111,25,20,25,21,08,01,1,2148
1,01,001,0001,2121,010044,03,111111,16,10,20,10,55,01,2,2148
1,01,001,0001,2121,010044,04,111111,24,13,15,13,50,01,7,2148
1,01,001,0001,2121,010044,05,111111,25,19,31,20,05,01,2,2148
1,01,001,0001,0515,010075,01,111111,07,18,29,19,31,01,1,1481
1,01,001,0001,0515,010075,02,111111,08,10,47,11,50,01,4,1481
1,01,001,0001,0515,010075,03,111111,10,13,20,14,15,01,4,1481
1,01,001,0001,0515,010075,04,111111,08,21,15,22,17,01,3,1481
1,01,001,0001,0515,010075,05,000011,08,09,40,09,50,08,0,0
1,01,001,0001,0498,010083,01,111111,19,10,20,11,15,01,4,1913
1,01,001,0001,0498,010083,02,111111,11,08,30,09,35,01,4,1913
1,01,001,0001,0498,010083,03,111111,07,14,00,14,45,01,3,1913
1,01,001,0001,0498,010083,04,111111,08,10,00,10,55,01,3,1913
1,01,001,0001,0498,010083,05,111111,15,19,35,20,39,01,2,1913
1,01,001,0001,1439,010099,01,111111,14,19,00,20,10,01,3,1914
1,01,001,0001,1439,010099,02,111111,15,15,10,16,15,01,4,1914
1,01,001,0001,1439,010099,03,111111,13,11,00,12,00,01,4,1914
1,01,001,0001,1439,010099,04,000011,14,12,30,12,40,07,0,0
1,01,001,0001,1439,010099,05,111111,15,14,00,15,00,01,3,1914
1,01,001,0001,2259,010101,01,000011,29,11,00,11,05,06,0,0
1,01,001,0001,2259,010101,02,111111,09,17,00,17,30,01,6,2399
1,01,001,0001,2259,010101,03,111111,17,09,50,10,55,01,1,2399
1,01,001,0001,2259,010101,04,111111,09,10,57,11,50,01,2,2399
1,01,001,0001,2259,010101,05,111111,08,16,22,17,05,01,3,2399
1,01,001,0001,2704,010133,01,111111,11,12,10,13,05,01,9,2106
1,01,001,0001,2704,010133,02,111111,17,13,58,14,49,01,3,2106
1,01,001,0001,2704,010133,03,111111,11,13,50,14,35,01,7,2106
1,01,001,0001,2704,010133,04,111111,11,13,20,13,40,01,2,2106
1,01,001,0001,2704,010133,05,111111,14,11,05,11,50,01,3,2106
1,01,001,0001,2704,010135,01,111111,11,12,50,13,44,01,5,1869
1,01,001,0001,2704,010135,02,111111,14,12,10,13,00,01,8,1869
1,01,001,0001,2704,010135,03,000011,14,10,59,11,03,07,0,0
1,01,001,0001,2704,010135,04,111111,11,10,55,11,40,01,4,1869
1,01,001,0001,2704,010135,05,111111,11,11,35,12,25,01,3,1869
1,01,001,0001,0534,010198,01,111111,22,18,00,18,50,01,6,2013
1,01,001,0001,0534,010198,02,000011,23,17,30,17,45,07,0,0
1,01,001,0001,0534,010198,03,111111,15,16,20,17,10,01,3,2013
1,01,001,0001,0534,010198,04,111111,08,11,30,12,20,01,5,2013
1,01,001,0001,0534,010198,05,111111,15,17,20,18,20,01,4,2013
1,01,001,0001,2668,010296,01,111111,18,16,05,16,50,01,4,2204
1,01,001,0001,2668,010296,02,111111,18,18,40,19,25,01,5,2204
1,01,001,0001,2668,010296,03,111111,15,10,04,10,50,01,4,2204
1,01,001,0001,2668,010296,04,111111,18,17,10,18,20,01,4,2204
1,01,001,0001,2668,010296,05,000011,15,10,00,10,05,07,0,0
1,01,001,0001,1316,010324,01,111111,24,18,30,19,15,01,9,3139
1,01,001,0001,1316,010324,02,111111,09,13,30,14,15,01,4,3139
1,01,001,0001,0229,010324,03,111111,24,17,45,18,20,01,7,3139
1,01,001,0001,0229,010324,04,111111,09,11,15,12,05,01,5,3139
1,01,001,0001,0229,010324,05,000011,10,10,10,10,20,07,0,0
1,01,001,0001,0500,010327,01,111111,08,11,40,12,45,01,5,2086
1,01,001,0001,0500,010327,02,111111,08,17,15,17,55,01,3,2086
1,01,001,0001,0500,010327,03,111111,29,08,02,08,49,01,2,2086
1,01,001,0001,0500,010327,04,111111,08,10,15,11,05,01,1,2086
1,01,001,0001,0500,010327,05,111111,08,13,00,13,40,01,3,2086
1,01,001,0001,2422,010356,01,111111,10,12,00,12,55,01,4,1874
1,01,001,0001,2422,010356,02,111111,12,11,55,12,35,01,3,1874
1,01,001,0001,2422,010356,03,111111,23,11,18,12,40,01,5,1874
1,01,001,0001,2422,010356,04,111111,10,17,15,17,45,01,7,1874
1,01,001,0001,2422,010356,05,111111,10,17,50,18,30,01,2,1874
1,01,001,0001,2070,010365,01,111111,09,17,00,17,55,01,7,2015
1,01,001,0001,2070,010365,02,111111,18,20,05,20,50,01,2,2015
1,01,001,0001,2070,010365,03,111111,20,19,03,19,58,01,2,2015
1,01,001,0001,2070,010365,04,111111,09,18,10,19,05,01,4,2015
1,01,001,0001,2070,010365,05,111111,10,10,30,11,15,01,2,2015
1,01,001,0001,2808,010390,01,111111,15,21,30,22,00,01,5,1824
1,01,001,0001,2808,010390,02,111111,15,17,00,18,00,01,3,1824
1,01,001,0001,2808,010390,03,111111,15,18,10,19,20,01,5,1824
1,01,001,0001,2808,010390,04,111111,15,19,30,20,30,01,5,1824
1,01,001,0001,2808,010390,05,111111,15,20,35,21,20,01,6,1824
1,01,001,0001,2070,010396,01,111111,21,20,30,21,40,01,1,1861
1,01,001,0001,2070,010396,02,111111,09,19,30,20,00,01,3,1861
1,01,001,0001,2070,010396,03,111111,18,21,00,21,55,01,4,1861
1,01,001,0001,2070,010396,04,000011,09,11,55,11,59,07,0,0
1,01,001,0001,2070,010396,05,111111,11,19,40,20,25,01,5,1861
1,01,001,0001,255A,010398,01,111111,12,10,39,11,30,01,1,1933
1,01,001,0001,255A,010398,02,111111,10,10,30,11,20,01,2,1933
1,01,001,0001,255A,010398,03,000011,10,10,00,10,10,07,0,0
1,01,001,0001,255A,010398,04,111111,10,11,05,11,53,01,4,1933
1,01,001,0001,255A,010398,05,111111,10,09,50,10,50,01,4,1933
1,01,001,0001,2511,010399,01,111111,16,20,40,21,30,01,2,1991
1,01,001,0001,2511,010399,02,111111,22,21,00,22,00,01,4,1991
1,01,001,0001,2511,010399,03,111111,16,19,50,20,30,01,3,1991
1,01,001,0001,2511,010399,04,111111,16,18,00,19,00,01,5,1991
1,01,001,0001,2511,010399,05,111111,22,19,55,20,50,01,4,1991
1,02,004,0001,3840,020006,01,111111,20,11,00,12,30,01,2,7415
1,02,004,0001,3840,020006,02,111111,20,20,20,21,50,01,1,7415
1,02,004,0001,3840,020006,03,111111,20,09,00,10,15,01,1,7415
1,02,004,0001,3840,020006,04,111111,09,10,05,11,55,01,3,7415
1,02,004,0001,3840,020006,05,111111,10,08,15,09,45,01,4,7415
1,02,004,0001,0579,020009,01,111111,10,13,35,14,15,01,3,7232
1,02,004,0001,0579,020009,02,111111,15,06,00,07,30,01,1,7232
1,02,004,0001,0579,020009,03,121112,15,04,00,06,20,01,1,7232
1,02,004,0001,0579,020009,03,221122,19,01,10,03,45,01,3,7232
1,02,004,0001,0579,020009,04,000011,10,13,00,13,20,07,0,0
1,02,004,0001,0579,020009,05,111111,19,09,10,10,00,01,3,7232
1,02,004,0001,0456,020042,01,111111,14,18,30,20,15,01,2,7752
1,02,004,0001,0456,020042,02,111111,10,14,15,15,45,01,3,7752
1,02,004,0001,0456,020042,03,111111,13,16,05,18,00,01,4,7752
1,02,004,0001,0456,020042,04,111111,14,16,30,18,15,01,4,7752
1,02,004,0001,0456,020042,05,111111,13,12,00,14,00,01,1,7752
1,02,004,0001,589A,020046,01,111111,14,12,15,13,40,01,10,187
1,02,004,0001,589A,020046,02,111111,14,02,55,03,30,01,2,187
1,02,004,0001,589A,020046,03,111111,15,04,20,04,40,01,2,187
1,02,004,0001,589A,020046,04,111111,15,03,40,04,15,01,6,187
1,02,004,0001,589A,020046,05,111111,19,04,47,05,10,01,3,187
1,02,004,0001,5565,020047,01,111111,07,17,40,18,50,01,5,6195
1,02,004,0001,5565,020047,02,111111,09,04,10,05,20,01,7,6195
1,02,004,0001,5565,020047,03,111111,14,11,00,13,25,01,3,6195
1,02,004,0001,5565,020047,04,111111,09,11,50,12,55,01,3,6195
1,02,004,0001,5565,020047,05,111111,12,01,25,02,20,01,9,6195
1,02,004,0001,361A,020066,01,111111,12,05,00,06,30,01,2,6888
1,02,004,0001,361A,020066,02,111111,07,03,50,06,00,01,1,6888
1,02,004,0001,361A,020066,03,111111,09,06,05,06,45,01,1,6888
1,02,004,0001,361A,020066,04,111111,09,06,50,07,30,01,2,6888
1,02,004,0001,361A,020066,05,111111,24,04,00,06,00,01,4,6888
1,02,004,0001,0210,020071,01,111111,10,18,05,19,30,01,4,6947
1,02,004,0001,0210,020071,02,111111,10,13,50,15,30,01,5,6947
1,02,004,0001,0210,020071,03,111111,13,10,00,11,05,01,4,6947
1,02,004,0001,0210,020071,04,111111,10,15,40,17,45,01,4,6947
1,02,004,0001,0210,020071,05,000011,13,99,99,99,99,07,0,0
1,02,004,0001,5584,020073,01,111111,16,02,10,03,30,01,5,6342
1,02,004,0001,5584,020073,02,111111,16,12,30,14,10,01,6,6342
1,02,004,0001,5584,020073,03,000011,16,02,20,02,30,07,0,0
1,02,004,0001,5584,020073,04,111111,17,04,10,05,55,01,4,6342
1,02,004,0001,5584,020073,05,111111,17,01,30,03,40,01,4,6342
1,02,004,0001,0668,020082,01,000011,10,12,00,12,15,07,0,0
1,02,004,0001,0668,020082,02,111111,08,03,10,04,00,01,5,12989
1,02,004,0001,0668,020082,03,111111,24,11,20,12,35,01,3,12989
1,02,004,0001,0668,020082,04,111111,22,05,00,09,30,01,5,12989
1,02,004,0001,0668,020082,05,111111,11,09,45,10,35,01,5,12989
1,02,004,0001,3516,020103,01,000011,10,03,00,03,15,07,0,0
1,02,004,0001,3516,020103,02,111111,10,04,15,05,15,01,7,7585
1,02,004,0001,3516,020103,03,111111,14,02,00,03,00,01,5,7585
1,02,004,0001,3516,020103,04,111111,21,12,00,16,00,01,4,7585
1,02,004,0001,3516,020103,05,111111,18,06,00,08,20,01,4,7585
1,02,004,0001,4622,020135,01,000011,13,03,10,03,30,07,0,0
1,02,004,0001,4622,020135,02,151115,13,01,00,03,00,01,1,6130
1,02,004,0001,4622,020135,02,251125,14,06,00,07,30,01,1,6130
1,02,004,0001,4622,020135,02,351135,16,06,00,08,00,01,1,6130
1,02,004,0001,4622,020135,02,451145,16,08,10,09,57,01,1,6130
1,02,004,0001,4622,020135,02,551155,20,08,00,10,00,01,1,6130
1,02,004,0001,4622,020135,03,111111,21,08,00,09,30,01,3,6130
1,02,004,0001,4622,020135,04,111111,08,10,00,12,00,01,6,6130
1,02,004,0001,4622,020135,05,000011,14,11,00,11,30,07,0,0
1,02,004,0001,3395,020143,01,111111,18,13,00,13,40,01,3,10839
1,02,004,0001,3395,020143,02,121112,11,04,00,06,00,01,1,10839
1,02,004,0001,3395,020143,02,221122,15,01,00,03,35,01,1,10839
1,02,004,0001,3395,020143,03,111111,22,03,00,05,25,01,5,10839
1,02,004,0001,3395,020143,04,111111,11,08,00,08,40,01,3,10839
1,02,004,0001,3395,020143,05,111111,07,19,00,21,45,01,1,10839
1,02,004,0001,4285,020237,01,111111,20,03,20,04,30,01,1,6272
1,02,004,0001,4285,020237,02,111111,20,11,45,12,55,01,4,6272
1,02,004,0001,4285,020237,03,111111,20,04,35,05,50,01,5,6272
1,02,004,0001,4285,020237,04,111111,22,10,10,11,05,01,3,6272
1,02,004,0001,4285,020237,05,111111,20,11,20,11,40,01,5,6272
1,02,004,0001,450A,020265,01,111111,10,04,50,06,00,01,7,6272
1,02,004,0001,450A,020265,02,111111,08,03,25,04,40,01,5,6272
1,02,004,0001,450A,020265,03,111111,08,11,45,13,26,01,6,6272
1,02,004,0001,450A,020265,04,111111,08,01,40,02,45,01,3,6272
1,02,004,0001,450A,020265,05,111111,10,05,30,06,50,01,4,6272
1,02,004,0001,0193,020266,01,111111,18,12,10,13,30,01,1,7594
1,02,004,0001,0193,020266,02,000011,16,11,40,11,55,07,0,0
1,02,004,0001,0193,020266,03,111111,16,10,00,11,30,01,1,7594
1,02,004,0001,0193,020266,04,111111,16,15,40,18,05,01,2,7594
1,02,004,0001,0193,020266,05,111111,17,10,00,12,20,01,1,7594
1,02,004,0001,4641,020269,01,111111,10,04,00,04,50,01,4,6806
1,02,004,0001,4641,020269,02,111111,10,01,20,02,30,01,1,6806
1,02,004,0001,4641,020269,03,111111,12,08,45,09,30,01,2,6806
1,02,004,0001,4641,020269,04,111111,10,02,00,03,50,01,4,6806
1,02,004,0001,4641,020269,05,111111,10,12,15,13,00,01,7,6806
1,02,004,0001,322A,020301,01,111111,17,18,20,19,50,01,2,8073
1,02,004,0001,322A,020301,02,111111,17,16,00,18,10,01,2,8073
1,02,004,0001,322A,020301,03,111111,17,09,00,10,15,01,2,8073
1,02,004,0001,322A,020301,04,111111,14,20,45,22,15,01,5,8073
1,02,004,0001,322A,020301,05,111111,09,16,40,18,10,01,5,8073
1,02,004,0001,1702,020302,01,111111,12,05,00,06,35,01,5,9273
1,02,004,0001,1702,020302,02,111111,12,06,50,07,30,01,2,9273
1,02,004,0001,1702,020302,03,111111,19,09,30,10,40,01,3,9273
1,02,004,0001,1702,020302,04,111111,17,05,00,08,20,01,4,9273
1,02,004,0001,1702,020302,05,111111,24,12,50,13,45,01,3,9273
1,02,004,0001,4302,020358,01,000011,10,12,00,12,05,07,0,0
1,02,004,0001,4302,020358,02,111111,13,01,35,02,35,01,5,8498
1,02,004,0001,4302,020358,03,111111,13,12,00,13,20,01,3,8498
1,02,004,0001,4302,020358,04,111111,13,02,45,03,35,01,5,8498
1,02,004,0001,4302,020358,05,111111,13,10,00,10,45,01,3,8498
1,02,004,0001,1488,020360,01,111111,08,14,40,16,20,01,5,6930
1,02,004,0001,1488,020360,02,111111,08,11,20,13,15,01,3,6930
1,02,004,0001,1488,020360,03,111111,08,18,30,19,55,01,7,6930
1,02,004,0001,1488,020360,04,111111,08,09,05,11,00,01,5,6930
1,02,004,0001,1488,020360,05,111111,14,19,00,19,05,01,4,6930
1,03,003,0001,3072,030002,01,111111,23,18,50,19,45,01,4,470
1,03,003,0001,3072,030002,02,111111,26,14,10,14,50,01,4,470
1,03,003,0001,3072,030002,03,111111,27,16,30,17,11,01,3,470
1,03,003,0001,3072,030002,04,111111,27,20,30,21,33,01,7,470
1,03,003,0001,3072,030002,05,111111,23,17,57,18,40,01,4,470
1,03,003,0001,1979,030007,01,000011,15,11,15,11,30,07,0,0
1,03,003,0001,1979,030007,02,111111,11,06,30,07,50,01,7,465
1,03,003,0001,1979,030007,03,111111,15,05,38,06,59,01,5,465
1,03,003,0001,1979,030007,04,111111,11,05,50,06,49,01,2,465
1,03,003,0001,1979,030007,05,000011,11,02,19,02,30,07,0,0
1,03,003,0001,2267,030030,01,000011,14,19,00,19,30,08,0,0
1,03,003,0001,2267,030030,02,111111,08,10,49,12,15,01,6,418
1,03,003,0001,2267,030030,03,111111,09,05,20,07,10,01,3,418
1,03,003,0001,2267,030030,04,111111,10,11,38,12,58,01,2,418
1,03,003,0001,2267,030030,05,111111,08,05,40,07,01,01,4,418
1,03,003,0001,3068,030033,01,111111,23,13,10,13,58,01,6,508
1,03,003,0001,3068,030033,02,111111,21,19,00,19,50,01,4,508
1,03,003,0001,3068,030033,03,111111,27,17,20,18,00,01,3,508
1,03,003,0001,3068,030033,04,111111,22,18,00,18,50,01,4,508
1,03,003,0001,3068,030033,05,111111,29,18,00,19,05,01,6,508
1,03,003,0001,3369,030035,01,111111,25,16,53,17,50,01,5,499
1,03,003,0001,3369,030035,02,111111,15,13,50,14,40,01,3,499
1,03,003,0001,3369,030035,03,111111,16,16,30,17,30,01,4,499
1,03,003,0001,3369,030035,04,111111,16,18,00,18,40,01,3,499
1,03,003,0001,3369,030035,05,111111,19,13,00,14,00,01,6,499
1,03,003,0001,327A,030056,01,111111,28,07,14,07,53,01,6,518
1,03,003,0001,327A,030056,02,111111,25,12,42,13,18,01,5,518
1,03,003,0001,327A,030056,03,111111,28,02,28,03,43,01,3,518
1,03,003,0001,327A,030056,04,111111,25,11,59,12,37,01,2,518
1,03,003,0001,327A,030056,05,111111,24,04,21,05,24,01,5,518
1,03,003,0001,3373,030082,01,000011,16,10,00,10,05,07,0,0
1,03,003,0001,3373,030082,02,000011,17,18,30,18,45,07,0,0
1,03,003,0001,3373,030082,03,000011,17,18,40,19,30,03,0,0
1,03,003,0001,3373,030082,04,111111,15,17,00,18,00,01,5,662
1,03,003,0001,3373,030082,05,111111,15,18,15,19,09,01,6,662
1,03,003,0001,3481,030087,01,111111,22,03,31,04,24,01,5,124
1,03,003,0001,3481,030087,02,111111,24,10,41,11,20,01,5,124
1,03,003,0001,3481,030087,03,111111,24,11,36,12,20,01,1,124
1,03,003,0001,3481,030087,04,111111,27,10,30,11,15,01,5,124
1,03,003,0001,3481,030087,05,111111,28,11,55,13,38,01,3,124
1,03,003,0001,3208,030088,01,111111,17,03,36,04,21,01,3,528
1,03,003,0001,3208,030088,02,111111,17,01,32,02,17,01,4,528
1,03,003,0001,3208,030088,03,111111,16,01,07,02,13,01,5,528
1,03,003,0001,3208,030088,04,111111,19,02,00,02,30,01,4,528
1,03,003,0001,3208,030088,05,111111,19,04,37,05,22,01,2,528
1,03,003,0001,2017,030097,01,111111,17,10,14,11,00,01,3,446
1,03,003,0001,2017,030097,02,111111,14,17,00,17,50,01,2,446
1,03,003,0001,2017,030097,03,000011,11,11,45,11,55,07,0,0
1,03,003,0001,2017,030097,04,111111,10,09,55,11,24,01,4,446
1,03,003,0001,2017,030097,05,111111,15,10,58,11,32,01,4,446
1,03,003,0001,1926,030109,01,111111,16,03,00,03,16,01,6,476
1,03,003,0001,1926,030109,02,111111,15,12,30,13,31,01,7,476
1,03,003,0001,1926,030109,03,111111,27,15,00,15,56,01,1,476
1,03,003,0001,1926,030109,04,111111,18,10,00,10,22,01,5,476
1,03,003,0001,1926,030109,05,111111,15,12,01,12,45,01,4,476
1,03,003,0001,2267,030117,01,111111,18,16,00,17,00,01,2,393
1,03,003,0001,2267,030117,02,111111,14,16,00,17,00,01,2,393
1,03,003,0001,2267,030117,03,111111,08,10,50,12,15,01,2,393
1,03,003,0001,2267,030117,04,111111,10,18,00,18,45,01,4,393
1,03,003,0001,2267,030117,05,111111,08,18,45,19,15,01,3,393
1,03,003,0001,3388,030118,01,111111,22,10,00,11,30,01,2,525
1,03,003,0001,3388,030118,02,111111,23,10,20,11,10,01,2,525
1,03,003,0001,3388,030118,03,111111,22,17,20,17,58,01,1,525
1,03,003,0001,3388,030118,04,111111,23,16,25,17,15,01,6,525
1,03,003,0001,3388,030118,05,111111,22,15,15,16,10,01,7,525
1,03,003,0001,1930,030123,01,111111,16,11,30,11,59,01,4,536
1,03,003,0001,1930,030123,02,111111,14,05,32,06,38,01,5,536
1,03,003,0001,1930,030123,03,111111,29,06,00,07,00,01,3,536
1,03,003,0001,1930,030123,04,111111,18,11,00,11,29,01,4,536
1,03,003,0001,1930,030123,05,111111,14,12,30,13,50,01,3,536
1,03,003,0001,3462,030138,01,111111,22,12,48,13,31,01,5,515
1,03,003,0001,3462,030138,02,111111,22,01,37,02,26,01,6,515
1,03,003,0001,3462,030138,03,111111,22,11,35,12,35,01,4,515
1,03,003,0001,3462,030138,04,111111,22,10,24,11,16,01,6,515
1,03,003,0001,3462,030138,05,111111,29,03,45,05,20,01,4,515
1,03,003,0001,2962,030169,01,111111,12,12,30,13,00,01,5,854
1,03,003,0001,2962,030169,02,000011,19,12,00,12,30,05,0,0
1,03,003,0001,2962,030169,03,111111,15,18,40,19,45,01,1,854
1,03,003,0001,2962,030169,04,000011,19,12,40,13,00,05,0,0
1,03,003,0001,2962,030169,05,111111,10,10,20,11,30,01,4,854
1,03,003,0001,2943,030173,01,111111,23,02,11,03,15,01,2,479
1,03,003,0001,2943,030173,02,111111,28,17,10,17,51,01,2,479
1,03,003,0001,2943,030173,03,111111,30,15,45,16,40,01,3,479
1,03,003,0001,2943,030173,04,111111,28,18,00,18,40,01,4,479
1,03,003,0001,2943,030173,05,000011,27,19,30,19,40,07,0,0
1,03,003,0001,3049,030251,01,111111,24,01,08,01,41,01,6,527
1,03,003,0001,3049,030251,02,111111,23,12,40,13,32,01,7,527
1,03,003,0001,3049,030251,03,111111,24,02,00,02,45,01,4,527
1,03,003,0001,3049,030251,04,111111,23,10,41,11,27,01,5,527
1,03,003,0001,3049,030251,05,111111,23,11,32,12,27,01,4,527
1,03,003,0001,3091,030272,01,111111,21,15,50,16,30,01,6,467
1,03,003,0001,3091,030272,02,111111,20,12,50,13,40,01,5,467
1,03,003,0001,3091,030272,03,111111,29,11,40,12,20,01,5,467
1,03,003,0001,3091,030272,04,111111,28,16,45,17,45,01,4,467
1,03,003,0001,3091,030272,05,111111,20,14,00,15,02,01,6,467
1,03,003,0001,3335,030329,01,111111,11,16,25,16,45,01,2,462
1,03,003,0001,3335,030329,02,000011,10,11,30,11,40,07,0,0
1,03,003,0001,3335,030329,03,111111,24,17,35,18,45,01,3,462
1,03,003,0001,3335,030329,04,111111,11,15,08,16,15,01,4,462
1,03,003,0001,3335,030329,05,111111,12,13,55,15,20,01,6,462
1,04,002,0001,1340,040004,01,111111,25,14,50,15,40,01,3,795
1,04,002,0001,1340,040004,02,000011,18,18,00,18,05,07,0,0
1,04,002,0001,1340,040004,03,111111,19,11,15,12,13,01,2,795
1,04,002,0001,1340,040004,04,111111,18,21,45,22,30,01,2,795
1,04,002,0001,1340,040004,05,111111,14,17,57,18,35,01,3,795
1,04,002,0001,1088,040005,01,111111,22,16,10,16,56,01,3,1018
1,04,002,0001,1088,040005,02,111111,16,18,00,18,40,01,6,1018
1,04,002,0001,1088,040005,03,111111,17,09,00,09,40,01,3,1018
1,04,002,0001,1088,040005,04,111111,18,20,35,20,57,01,3,1018
1,04,002,0001,1088,040005,05,111111,17,19,15,20,00,01,3,1018
1,04,002,0001,1105,040035,01,111111,10,14,40,16,15,01,5,798
1,04,002,0001,1105,040035,02,121112,17,20,05,20,45,01,6,798
1,04,002,0001,1105,040035,02,221122,17,20,10,20,50,01,5,798
1,04,002,0001,1105,040035,03,111111,14,16,35,17,25,01,4,798
1,04,002,0001,1105,040035,04,111111,11,19,10,20,15,01,3,798
1,04,002,0001,1105,040035,05,111111,15,19,06,19,46,01,2,798
1,04,002,0001,1622,040037,01,111111,09,17,32,18,35,01,2,806
1,04,002,0001,1622,040037,02,111111,10,21,48,22,45,01,9,806
1,04,002,0001,1622,040037,03,111111,09,12,07,13,10,01,5,806
1,04,002,0001,1622,040037,04,111111,09,21,55,22,35,01,5,806
1,04,002,0001,1622,040037,05,111111,09,11,37,13,13,01,4,806
1,04,002,0001,1622,040041,01,111111,22,11,05,11,40,01,4,752
1,04,002,0001,1622,040041,02,111111,10,17,55,18,50,01,3,752
1,04,002,0001,1622,040041,03,111111,21,13,00,13,30,01,5,752
1,04,002,0001,1622,040041,04,131113,09,16,25,16,55,01,3,752
1,04,002,0001,1622,040041,04,231123,10,12,00,12,55,01,2,752
1,04,002,0001,1622,040041,04,331133,10,13,05,13,50,01,5,752
1,04,002,0001,1622,040041,05,111111,10,18,10,19,20,01,6,752
1,04,002,0001,0126,040060,01,111111,14,18,50,19,30,01,5,784
1,04,002,0001,0126,040060,02,111111,08,17,55,18,30,01,4,784
1,04,002,0001,0126,040060,03,111111,17,19,10,19,55,01,4,784
1,04,002,0001,0126,040060,04,111111,15,19,20,20,00,01,1,784
1,04,002,0001,0126,040060,05,111111,14,10,05,10,45,01,4,784
1,04,002,0001,1618,040061,01,111111,23,15,45,16,28,01,2,872
1,04,002,0001,1618,040061,02,111111,23,15,40,16,15,01,5,872
1,04,002,0001,1618,040061,03,111111,23,19,20,20,03,01,5,872
1,04,002,0001,1618,040061,04,000011,22,13,05,13,10,07,0,0
1,04,002,0001,1618,040061,05,111111,22,18,45,19,30,01,4,872
1,04,002,0001,1374,040067,01,111111,14,13,05,13,55,01,5,1040
1,04,002,0001,1374,040067,02,111111,18,16,40,17,10,01,3,1040
1,04,002,0001,1374,040067,03,000011,26,09,00,09,04,05,0,0
1,04,002,0001,1374,040067,04,111111,21,16,45,17,20,01,5,1040
1,04,002,0001,1374,040067,05,111111,17,10,34,11,17,01,3,1040
1,04,002,0001,1228,040095,01,111111,11,20,15,20,55,01,4,967
1,04,002,0001,1228,040095,02,111111,19,12,40,13,30,01,3,967
1,04,002,0001,1228,040095,03,111111,19,08,00,08,45,01,2,967
1,04,002,0001,1228,040095,04,111111,15,17,15,17,55,01,5,967
1,04,002,0001,1228,040095,05,000011,09,14,15,14,20,07,0,0
1,04,002,0001,104A,040112,01,111111,08,17,50,18,06,01,4,966
1,04,002,0001,104A,040112,02,111111,15,21,45,22,50,01,1,966
1,04,002,0001,104A,040112,03,111111,24,15,50,16,40,01,1,966
1,04,002,0001,104A,040112,04,111111,19,13,10,13,55,01,5,966
1,04,002,0001,104A,040112,05,111111,09,19,02,20,10,01,3,966
1,04,002,0001,0516,040119,01,111111,15,12,40,13,45,01,5,1632
1,04,002,0001,0516,040119,02,111111,19,10,55,11,55,01,4,1632
1,04,002,0001,0516,040119,03,111111,15,11,35,12,10,01,1,1632
1,04,002,0001,0516,040119,04,111111,17,11,40,12,30,01,5,1632
1,04,002,0001,0516,040119,05,111111,19,09,05,10,15,01,4,1632
1,04,002,0001,1270,040138,01,111111,22,16,00,16,50,01,6,1018
1,04,002,0001,1270,040138,02,111111,26,15,35,16,10,01,5,1018
1,04,002,0001,1270,040138,03,000011,22,12,00,12,05,07,0,0
1,04,002,0001,1270,040138,04,111111,21,15,35,16,25,01,4,1018
1,04,002,0001,1270,040138,05,111111,22,12,13,12,55,01,1,1018
1,04,002,0001,1374,040164,01,111111,17,10,30,11,00,01,3,921
1,04,002,0001,1374,040164,02,111111,18,15,45,16,30,01,6,921
1,04,002,0001,1374,040164,03,111111,15,18,10,18,30,01,4,921
1,04,002,0001,1374,040164,04,111111,22,14,10,15,00,01,7,921
1,04,002,0001,1374,040164,05,111111,18,17,40,18,15,01,4,921
1,04,002,0001,0516,040193,01,111111,26,09,42,09,47,02,1,0
1,04,002,0001,0516,040193,02,111111,16,17,45,18,40,01,2,1749
1,04,002,0001,0516,040193,03,111111,18,19,00,19,40,01,3,1749
1,04,002,0001,0516,040193,04,111111,16,16,50,17,30,01,3,1749
