"CD_A,C,2","PER,C,4","ENT,C,2","CON,C,5","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S3P1,C,2","S3P1_2,C,1","S3P2,C,4","S3P2_ES,C,50","S3P3,C,1","S3P4_1,C,1","S3P4_2,C,1","S3P4_3,C,1","S3P4_4,C,1","S3P5,C,1","S3P5_ES,C,50","S3P6,C,2","S3P7,C,1","S3P7_1_1,C,1","S3P7_1_2,C,1","S3P7_2_1,C,1","S3P7_2_2,C,1","S3P8,C,1","S3P9,C,1","S3P10,C,1","S3P11_ES,C,100","S3P12_C,C,2","S3P12_ES,C,50","S3P14_C,C,2","S3P14_ES,C,100","S3P15,C,1","S4P1_1,C,1","S4P1_2,C,1","S4P1_3,C,1","S4P1_4,C,1","S4P1_5,C,1","S4P1_6,C,1","S4P1_7,C,1","S4P1_1_1,C,1","S4P1_1_2,C,1","S4P1_1_3,C,1","S4P1_1_4,C,1","S4P1_1_5,C,1","S4P1_1_6,C,1","S4P1_1_7,C,1","S4P1_1_ES,C,50","S4P1_2_1,C,1","S4P1_2_2,C,1","S4P1_2_3,C,1","S4P1_2_4,C,1","S4P1_2_5,C,1","S4P1_2_6,C,1","S4P1_2_7,C,1","S4P1_2_8,C,1","S4P1_2_9,C,1","S4P1_2_10,C,1","S4P1_2_11,C,1","S4P1_2_ES,C,50","S4P2_1,C,1","S4P2_2,C,1","S4P2_3,C,1","S4P2_4,C,1","S4P2_5,C,1","S4P2_6,C,1","S4P2_7,C,1","S4P3_1,C,1","S4P3_2,C,1","S4P3_3,C,1","S4P3_4,C,1","S4P3_5,C,1","S4P3_6,C,1","S4P3_7,C,1","S4P3_8,C,1","S4P3_9,C,1","S4P4,C,3","S4P4_1,C,3","S4P4_2,C,3","S4P5,C,3","S4P5_1,C,3","S4P5_2,C,3","S4P6,C,1","S4P6_1,C,2","S4P6_2,C,2","S4P6_3,C,2","S4P7,C,2","S4P7_1,C,2","S4P7_2,C,2","S4P7_3,C,2","S4P7_R1,C,50","S4P7_R2,C,50","S4P7_R3,C,50","S4P8,C,1","S4P8_1_1,C,2","S4P8_1_2,C,2","S4P8_1_ES,C,50","S4P9,C,1","S4P10,C,1","S4P10_1,C,2","S4P11_1,C,1","S4P11_2,C,1","S4P11_3,C,1","S4P11_4,C,1","S4P11_5,C,1","S4P11_6,C,1","S4P11_7,C,1","S4P11_8,C,1","S4P11_9,C,1","S4P11_10,C,1","S4P11_11,C,1","S4P11_12,C,1","S4P11_13,C,1","S4P11_14,C,1","S4P11_15,C,1","S4P11_16,C,1","S4P11_17,C,1","S4P11_ES,C,50","S4P12_1,C,1","S4P12_2,C,1","S4P12_3,C,1","S4P12_4,C,1","S4P12_5,C,1","S4P12_6,C,1","S4P12_7,C,1","S4P12_8,C,1","S4P12_9,C,1","S4P12_1_1,C,1","S4P12_1_2,C,1","S4P12_1_3,C,1","S4P12_1_4,C,1","S4P12_1_5,C,1","S4P12_1_6,C,1","S4P12_1_7,C,1","S4P12_1_8,C,1","S4P12_1_9,C,1","S4P12_1_10,C,1","S4P12_1_ES,C,50","S4P12_2_1,C,1","S4P12_2_2,C,1","S4P12_2_3,C,1","S4P12_2_4,C,1","S4P12_2_5,C,1","S4P12_2_6,C,1","S4P12_2_7,C,1","S4P12_2_8,C,1","S4P12_2_ES,C,50","S4P13_1,C,1","S4P13_2,C,1","S4P13_3,C,1","S4P13_4,C,1","S4P13_5,C,1","S4P14_1,C,2","S4P14_2,C,2","S4P14_3,C,2","S4P14_4,C,2","S4P14_5,C,2","S4P14_6,C,2","S4P14_7,C,2","S4P14_8,C,2","S4P14_9,C,2","S4P14_10,C,2","S4P14_11,C,2","S4P14_12,C,2","S4P14_13,C,2","S4P14_14,C,2","S4P14_15,C,2","S4P14_16,C,2","S4P15_1,C,1","S4P15_2,C,1","S4P15_3,C,1","S4P15_4,C,1","S4P15_5,C,1","S4P15_6,C,1","S4P15_7,C,1","S4P15_8,C,1","S4P15_9,C,1","S4P15_10,C,1","S4P15_11,C,1","S4P15_12,C,1","S4P15_13,C,1","S4P15_14,C,1","S4P15_15,C,1","S4P16_1,C,1","S4P16_2,C,1","S4P16_3,C,1","S4P16_4,C,1","S4P16_5,C,1","S4P16_6,C,1","S4P16_7,C,1","S4P16_8,C,1","S4P16_9,C,1","S4P16_10,C,1","S4P16_11,C,1","S4P16_12,C,1","S4P17_1,C,1","S4P17_2,C,1","S4P17_3,C,1","S4P17_4,C,1","S4P17_5,C,1","S4P17_ES,C,50","S4P17_6,C,1","S4P17_7,C,1","S4P18_1,C,1","S4P18_2,C,1","S4P18_3,C,1","S4P18_4,C,1","S4P18_5,C,1","S4P18_6,C,1","S4P18_7,C,1","S4P18_8,C,1","S4P18_9,C,1","S4P18_10,C,1","S4P18_11,C,1","S4P18_12,C,1","S4P19_1,C,1","S4P19_2,C,1","S4P19_3,C,1","S4P19_4,C,1","S4P19_5,C,1","S4P19_6,C,1","S4P19_7,C,1","S4P19_8,C,1","S4P19_9,C,1","S4P19_10,C,1","S4P19_11,C,1","S4P19_12,C,1","S4P19_13,C,1","S4P19_14,C,1","S4P19_15,C,1","S4P19_16,C,1","S4P19_17,C,1","S4P19_18,C,1","S4P19_19,C,1","S4P19_20,C,1","S4P20,C,1","S4P21,C,1","S4P22_1_1,C,1","S4P22_1_2,C,1","S4P22_1_3,C,1","S4P22_1_4,C,1","S4P22_1_5,C,1","S4P22_1_6,C,1","S4P22_2,C,1","FAC,N,6,0"
14,0813,01,40007,2,2,01,02,4,,,,,,,,,,,,,,,,1,,4,"HACE ENJARRES EN MUROS, PLAFONES",71,ALBA�IL,23,CONSTRUCCION Y MANTENIMIENTO DE CASAS,2,4,4,4,4,3,4,3,0,0,0,0,1,0,0,,,,,,,,,,,,,,4,4,4,4,3,3,4,2,3,6,5,4,1,,,,002,001,000,008,001,000,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,2,3,3,5,2,08,08,05,06,04,08,07,10,10,10,08,10,09,07,08,10,3,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,3,1,3,3,4,2,1,3,1,2,2,1,3,2,,,,,,3,4,4,4,3,4,3,4,4,5,5,5,1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,2,4,1,5,1,1,1,1,9151
14,0813,01,40007,5,1,05,07,2,5113,LICENCIADA EN PSIPEDAGOGIA,3,2,1,2,1,2,,20,1,1,2,,,4,5,,,,,,,,2,3,2,2,3,2,2,,,,,,,,,1,1,2,1,1,1,1,1,1,1,2,,1,3,1,2,3,1,1,2,3,4,5,6,1,,,,001,000,001,014,007,002,5,04,01,03,15,05,02,03,OK  AGUASCALIENTES,TV NOVELAS,ALARMA,1,01,03,,1,1,25,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,,1,2,1,1,2,1,2,1,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,2,2,2,2,2,09,09,09,10,08,08,08,10,10,09,09,08,09,07,07,07,2,2,3,2,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,3,2,,1,2,3,,,,,2,1,3,3,2,2,2,2,3,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,3,3,5,2,4,2,2,2,2,23858
14,0813,01,40007,2,1,03,02,2,,,,,,,,,,,,,,,,1,,3,COLOCA PISOS EN CASA,92,PEON,23,CONSTRUCCION DE CASAS,2,2,4,4,4,2,4,3,0,0,0,0,1,0,0,,,,,,,,,,,,,,4,4,4,4,2,4,4,2,6,5,4,3,1,,,,002,000,000,011,000,000,0,,,,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,1,0,0,0,,5,2,3,3,5,04,10,09,10,10,10,09,10,10,10,09,10,10,10,10,10,4,4,4,3,2,2,2,3,2,2,2,2,3,5,2,2,1,2,3,2,2,2,2,3,1,2,2,3,2,1,,,,,,3,5,2,3,2,2,5,5,5,4,5,5,3,3,3,3,3,3,3,2,1,2,1,2,1,3,3,3,1,3,3,1,1,2,5,4,3,1,1,2,2,13726
14,0813,01,40007,3,1,01,04,2,,,,,,,,1,,17,2,,,1,2,5,5,,,,,,,,4,4,3,4,3,3,2,,,,,,,,,2,1,1,2,2,2,1,2,1,1,2,,4,4,3,4,3,3,3,6,4,3,2,5,1,,,,021,004,001,000,,,7,15,10,00,00,,,,,,,2,,,,1,1,25,2,1,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,1,2,2,2,2,1,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,,2,3,2,3,2,05,10,10,10,05,07,10,10,10,10,07,07,10,10,10,08,3,3,3,3,2,2,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,1,,,,,4,2,2,4,2,2,4,4,4,4,3,2,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,2,3,1,1,1,1,3,5,3,3,1,3,3,1,4772
14,0813,01,40007,4,1,03,07,4,5122,LICENCIATURA EN EDUCACION PRIMARIA,3,2,2,2,1,1,,22,2,,,2,2,1,,4,ELABORO ARTICULOS DE ARTESANIAS PARAV SU VENTA,79,ARTESANA POR SU CUENTA,33,VENTA DE ARTESANIAS  AL PUBLICO,2,2,4,4,4,2,4,2,0,0,0,1,0,0,0,,,,,,,,,,,,,,3,4,4,4,3,4,4,1,4,6,2,3,5,,,,007,003,000,014,002,000,0,,,,15,30,00,00,CASITA COUNTRY,CHOSITA,CEREMONIAS,1,01,02,,1,1,21,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,,2,1,2,2,2,1,2,1,2,,,,,,,,,,,,0,0,0,0,0,0,1,0,,3,3,2,2,2,08,09,06,09,08,06,05,08,08,10,10,08,09,09,06,06,2,3,4,2,2,2,3,2,2,3,4,2,3,2,2,2,5,2,1,5,2,3,2,2,2,5,3,,1,3,2,,,,,3,2,3,3,3,3,3,5,5,3,2,3,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,2,4,2,1,4,1,14315
14,0813,01,40007,1,1,02,02,1,,,,,,,,,,,,,,,,5,5,,,,,,,,4,4,4,4,3,3,3,0,0,0,0,1,0,0,,,,,,,,,,,,,,4,4,4,4,3,3,3,2,3,6,5,1,4,,,,010,005,000,000,,,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,5,5,5,5,5,11,08,11,11,06,07,03,11,11,08,11,06,09,09,11,10,5,3,4,5,5,5,5,5,2,2,3,2,5,5,3,5,5,5,5,1,5,5,1,5,5,5,5,,,,,,,,1,5,5,3,5,5,5,3,5,5,5,5,3,1,3,1,3,3,3,1,3,3,2,1,3,1,3,1,3,2,2,3,1,3,2,6,6,6,1,1,1,3,9543
14,0813,01,40010,2,1,03,03,3,,,,,,,,,,,,,,,,1,,1,VIGILAR LA SEGURIDAD,53,VIGILANTE,48,TRANSPORTAR PRODUCTOS LACTEOS,2,1,3,1,1,1,3,3,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,,1,3,1,1,1,3,3,4,1,2,3,6,5,,,,005,001,000,005,004,000,0,,,,15,15,05,05,SELECCIONES,MUY INTERESANTE,,1,01,00,,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,3,3,2,3,3,05,10,07,10,10,10,10,10,10,10,10,10,10,10,08,04,3,2,3,3,1,1,2,2,3,2,3,1,1,1,2,1,1,1,1,1,5,5,1,1,1,4,3,2,1,,3,,,,,3,4,1,1,1,1,3,3,3,5,5,1,1,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,3,3,3,4,2,2,1,1,1,3,11357
14,0813,01,40010,5,1,02,02,6,,,,,,,,,,,,,,,,8,5,,,,,,,,3,3,2,2,1,3,2,,,,,,,,,1,1,1,1,2,1,1,1,1,1,2,,2,2,2,2,2,2,3,2,4,5,1,3,6,,,,015,005,000,006,005,000,1,10,10,00,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,1,0,0,0,0,0,,2,2,3,2,2,07,07,08,10,05,06,06,07,07,07,10,06,08,07,09,10,2,1,3,2,1,1,2,3,2,2,3,2,2,2,2,2,1,2,1,3,1,4,1,3,1,2,3,3,1,,2,,,,,2,2,2,3,2,2,4,4,4,4,4,3,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,2,5,2,2,1,1,1,2,11357
14,0813,01,40010,4,1,01,06,2,2814,SECRETARIA ADMINISTRATIVA,2,,,,,1,,17,2,,,2,1,1,,1,SUPERVISORA DEPERSONAL,17,JEFE DE PISO,72,SERVICIO DE ALIMENTACION,1,3,3,2,3,3,2,3,,,,,,,,,2,1,1,2,1,2,2,2,2,1,2,,3,3,3,4,3,2,3,4,5,6,1,3,2,,,,014,004,002,004,001,000,1,05,03,01,00,,,,,,,1,01,02,,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,,1,2,2,1,2,1,2,1,2,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,4,2,2,2,2,05,08,08,05,05,05,08,08,08,05,05,05,09,09,04,05,3,2,3,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,1,3,,2,,,,,4,3,3,4,4,3,3,4,4,4,3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,2,2,1,3,1,4,4,4,4,2,3,2,7571
14,0813,01,40010,3,1,02,07,4,5128,LICENCIATURA EN EDCUCACION ESPECIAL,3,2,2,2,1,1,,24,2,,,2,2,1,,1,ENSE�A A ALUMNOS CON NECESIDADES EDUCATIVAS ESPECIALES,23,LICENCIADA EN EDUCACION EPECIAL,61,DESARROLLAR HABILIDADES BASICAS COTIDIANAS EN ALUMNOS CON NCESIDADESZ ESPECIALES,2,1,2,3,2,2,3,3,,,,,,,,,1,1,1,2,1,1,1,1,1,1,2,,3,3,3,3,1,3,3,4,5,6,1,2,3,,,,005,003,000,002,000,000,0,,,,00,,,,,,,1,01,02,,1,1,21,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,,2,1,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,1,0,0,0,0,,2,3,2,2,2,09,09,08,09,08,08,07,08,08,10,10,08,10,09,07,10,4,4,4,1,1,1,2,2,2,2,3,2,2,2,2,1,1,2,2,2,2,3,1,2,3,4,2,,2,3,1,,,,,4,2,2,4,2,2,4,4,2,4,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,2,3,4,1,4,1,1,1,2,7896
14,0813,01,40013,4,1,02,07,2,5712,TECNICO SUPERIOR UNIVERSITARIO PARAMEDICO,3,1,2,1,1,1,,22,2,,,1,2,1,,1,ATENCION DE PRIMEROS AUXILIOS Y ADMINISTRACION DE MEDICAMENTOS,28,ENFERMERA,33,FABRICACION DE AUTO PARTES DE VEHICULOS,3,2,3,1,3,3,4,3,,,,,,,,,1,1,2,2,1,2,2,1,1,1,2,,4,3,1,3,3,4,3,4,5,3,1,6,2,,,,000,,,000,,,0,,,,00,,,,,,,1,01,02,,1,1,99,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,1,0,,3,3,5,3,3,03,08,05,05,08,03,03,08,08,08,05,05,08,08,02,05,3,4,3,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,1,3,1,2,1,2,1,5,3,,3,1,2,,,,,2,1,3,5,3,3,3,4,2,3,1,3,1,1,1,1,2,2,1,1,1,1,1,2,1,3,1,3,2,1,1,1,3,3,5,2,4,2,1,2,1,9898
14,0813,01,40013,2,1,03,04,3,,,,,,,,1,,17,2,,,2,2,5,1,4,VENDE ZAPATOS Y ROPA POR CATALOGO,42,VENDEDORA POR SU CUENTA,46,VENTAS POR CATALOGO,2,2,4,3,3,2,4,3,,,,,,,,,2,1,1,2,2,2,2,2,1,1,2,,2,4,3,3,2,4,3,4,5,2,1,3,6,,,,005,003,000,001,000,000,4,08,05,00,00,,,,,,,1,01,00,,1,1,8,1,1,2,1,2,1,2,1,2,2,1,1,2,1,1,1,2,,2,2,2,2,2,2,2,1,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,,5,3,3,3,2,06,06,06,09,09,06,07,07,07,07,08,07,09,09,07,07,2,3,3,3,2,2,3,2,2,3,3,3,2,2,3,2,2,2,2,2,2,4,2,2,2,4,4,3,2,,1,,,,,4,3,3,3,3,3,4,4,4,4,4,3,1,2,2,1,3,3,1,1,1,1,1,2,2,1,1,3,2,1,2,3,3,2,4,2,4,1,1,1,2,14847
14,0813,01,40013,5,1,01,03,3,,,,,,,,,,,,,,,,1,,4,ARRENDAMIENTO DE BIENES INMUEBLES,42,CORREDOR DE BIENES RAICES,53,"A LA COMPRA, VENTA Y RENTA DE BIENES INMUEBLES",2,2,1,1,2,2,3,2,,,,,,,,,1,1,1,2,1,1,1,1,1,1,2,,3,2,2,3,3,3,2,6,4,1,2,5,3,,,,018,008,002,014,004,000,5,30,25,05,03,15,07,05,MUY INTERESANTE,PROCESO,NATIONAL GEOFRAFIC,1,01,02,,1,1,49,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,,1,1,2,2,2,1,2,1,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,2,2,3,3,07,07,08,09,08,07,05,08,08,07,08,08,09,07,08,08,3,2,2,3,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,1,2,1,2,2,3,2,1,,,,,,2,3,3,4,3,3,4,4,4,4,4,2,1,1,1,1,3,3,1,1,1,1,1,1,1,3,1,1,2,1,1,1,3,3,5,3,4,1,1,1,1,9898
14,0813,01,40013,3,1,02,04,3,,,,,,,,1,,18,2,,,2,1,5,1,4,VENTA DE JOYERIA POR CATALOGO,42,VENDEDORA POR SU CUENTA,46,VENTA DE JOYERIA POR CATALOGO,2,2,4,2,2,2,3,2,,,,,,,,,1,1,1,2,1,2,2,1,1,1,2,,2,4,3,3,2,3,3,3,4,5,1,2,6,,,,006,003,002,004,001,000,3,05,02,02,00,,,,,,,1,01,00,,1,1,5,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,,1,1,2,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2,3,3,2,2,08,09,09,09,09,09,09,09,10,10,10,08,10,10,08,08,3,2,4,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,3,1,2,1,2,1,2,2,,1,3,2,,,,,2,2,3,3,3,3,2,3,3,4,3,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,3,3,5,3,4,1,1,1,2,9898
14,0813,01,40013,1,1,03,04,2,,,,,,,,2,,19,1,2,1,,,4,5,,,,,,,,3,4,3,4,4,4,3,,,,,,,,,2,1,1,1,1,1,2,1,2,1,2,,3,4,3,4,4,4,3,4,6,5,1,2,3,,,,010,000,008,007,002,000,0,,,,01,05,00,01,MUY INTERESANTE,,,2,,,,1,1,71,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,,1,2,2,1,1,2,2,2,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,3,3,5,2,2,09,09,08,11,08,11,07,09,09,08,07,07,09,09,09,08,4,3,4,5,2,3,2,3,2,2,4,2,2,5,2,2,2,3,2,5,2,4,1,3,2,3,4,,1,3,2,,,,,1,3,4,4,3,1,4,4,2,4,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,3,1,2,2,2,1,3,3,2,5,1,4,1,1,1,2,14786
14,0813,01,40016,3,1,01,03,3,,,,,,,,,,,,,,,,1,,4,FABRICA MUEBLES DE MADERA,73,CARPINTERO,33,FABRICA MUEBLES DE MADERA,2,3,3,3,3,2,3,2,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,,2,3,2,2,3,3,2,4,5,6,3,2,1,,,,028,014,003,028,001,000,1,03,01,01,01,02,01,01,TV NOTAS,TV Y NOVELAS,CONOZCA MAS,1,01,00,,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,,2,1,1,1,2,2,2,1,2,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,2,3,3,2,2,09,10,09,10,10,10,10,10,10,09,10,09,09,09,09,09,2,2,3,2,1,1,2,3,2,3,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,3,2,1,,,,,,3,3,2,3,2,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,3,3,5,2,4,1,1,2,1,4581
14,0813,01,40016,5,1,01,03,3,,,,,,,,,,,,,,,,1,,1,MANEJA VEHICULOS DE MERCANCIAS,83,CHOFER,43,DISTRIBUIDOR DE ARTICULOS DDE LKIMPIEZAQ,2,1,1,1,1,1,3,2,,,,,,,,,1,1,1,2,1,2,1,2,1,1,2,,2,2,2,2,2,3,3,3,4,6,1,2,5,,,,024,000,000,110,040,000,0,,,,00,,,,,,,1,01,00,,1,1,10,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,4,3,1,2,2,08,08,04,09,08,08,07,08,08,09,09,07,10,10,10,08,4,4,4,2,1,1,2,2,2,2,2,2,2,1,2,2,2,3,1,2,1,3,1,2,3,2,3,,3,2,1,,,,,3,2,3,3,2,3,3,4,3,3,3,2,1,2,2,1,3,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,3,3,5,2,4,1,1,1,2,2290
14,0813,01,40016,4,1,02,03,3,,,,,,,,,,,,,,,,5,5,,,,,,,,4,4,3,3,1,3,3,,,,,,,,,1,1,1,2,2,1,1,2,2,2,2,,4,2,3,3,1,3,3,3,5,6,1,2,4,,,,021,007,007,002,000,000,0,,,,00,,,,,,,1,04,00,,1,1,4,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,,2,1,2,2,2,1,2,1,2,,,,,,,,,,,,0,0,0,1,0,1,0,0,,2,4,3,2,2,05,08,11,11,11,07,07,09,09,09,08,09,10,08,07,08,3,3,4,2,3,3,2,3,2,2,4,1,1,5,2,1,2,2,1,2,2,2,1,1,1,2,2,,1,2,3,,,,,4,4,2,3,2,2,4,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,3,1,1,5,1,1,2,1,4564
14,0813,01,40016,1,1,01,02,3,,,,,,,,,,,,,,,,1,,1,ARREGLA GATOS Y BOMBAS HIDRAULICAS,26,MECANICO HIDRAULICO,81,MECANICA EN GENERAL,2,4,4,3,3,1,3,3,,,,,,,,,2,1,1,2,2,2,1,1,1,1,2,,4,4,3,3,3,3,3,1,2,3,4,5,6,,,,049,014,007,035,007,007,7,01,01,00,15,70,04,00,SEMANARIO,TRIBUNA LIBRE,,1,02,00,,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,INFORMACION A CERCA DE SU TRABAJO,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,1,1,1,1,10,09,10,10,05,10,10,10,10,08,08,10,10,10,05,10,2,2,4,2,2,2,1,1,1,4,4,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,3,,,,,,4,4,1,1,1,4,4,4,4,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,5,1,4,1,1,1,1,4581
14,0813,01,40048,5,1,02,02,3,,,,,,,,,,,,,,,,5,5,,,,,,,,3,3,4,4,3,3,4,0,0,0,0,1,0,0,,,,,,,,,,,,,,3,3,4,4,3,3,4,4,5,6,2,3,1,,,,020,014,000,018,007,000,0,,,,00,,,,,,,1,01,00,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,2,2,2,5,5,09,10,10,09,08,08,09,09,09,10,09,09,10,09,09,10,1,1,3,1,2,2,2,2,2,3,3,2,2,2,2,1,2,5,5,2,5,5,2,5,2,5,5,,1,3,2,,,,,3,5,4,3,3,3,4,5,5,4,4,3,1,1,1,2,3,3,2,2,1,3,1,3,1,2,2,2,1,1,2,1,5,4,4,4,3,6,2,3,2,22360
14,0813,01,40048,1,1,02,04,3,,,,,,,,1,,19,1,2,1,,,4,5,,,,,,,,1,1,2,3,2,3,3,,,,,,,,,2,2,2,2,1,2,2,2,1,1,2,,2,3,2,2,2,2,2,3,5,6,2,4,1,,,,000,,,020,005,003,0,,,,00,,,,,,,1,01,03,,1,1,10,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,,2,2,1,2,2,1,2,1,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,,3,3,3,2,2,08,09,07,08,07,07,07,08,09,08,07,07,07,08,08,08,2,2,2,2,2,1,2,3,3,2,3,1,2,2,2,2,3,3,2,5,4,4,1,2,1,5,2,,1,2,3,,,,,2,1,2,4,2,4,4,4,2,2,2,2,1,2,1,2,2,1,3,1,1,1,1,2,1,3,1,2,2,2,2,1,3,2,5,2,2,1,1,1,2,16832
14,0813,01,40048,4,1,01,03,3,,,,,,,,,,,,,,,,1,,1,LIMPIEZA DE LAS OFICINAS,96,INTENDENTE,48,RENTA DE AUTOBUSES FORANEOS,2,3,3,4,4,4,4,3,0,1,0,0,0,0,0,,,,,,,,,,,,,,3,4,4,4,3,4,4,3,4,5,1,2,6,,,,018,000,000,035,003,000,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,3,2,2,5,5,07,09,08,09,07,07,08,09,07,06,09,09,10,10,08,08,3,3,4,3,2,2,2,3,2,3,3,3,5,5,3,3,2,2,5,2,5,5,2,2,1,2,3,,3,1,2,,,,,4,4,3,3,4,4,3,4,5,5,3,3,1,3,1,2,3,3,1,1,1,2,1,2,3,3,1,1,1,1,1,1,5,4,6,4,4,2,2,2,2,22360
14,0813,01,40048,3,1,01,03,3,,,,,,,,,,,,,,,,8,5,,,,,,,,1,3,3,3,2,2,2,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,,2,2,2,2,2,2,2,3,2,5,1,4,6,,,,021,007,000,024,005,000,7,15,15,00,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,1,2,1,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,2,2,2,2,2,08,08,08,07,10,10,10,10,10,08,08,08,10,10,06,10,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2,5,,3,2,1,,,,,3,4,3,4,4,4,4,4,5,5,5,3,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,3,2,4,3,3,1,1,2,1,11221
